Time , PM , Status , Running
2014-05-11 10:04:45 , 5 , 0 , 0
2014-05-11 10:05:00 , 8 , 0 , 0
2014-05-11 10:05:16 , 4 , 0 , 0
2014-05-11 10:05:32 , 20 , 0 , 0
2014-05-11 10:05:48 , 8 , 0 , 0
2014-05-11 10:06:04 , 14 , 0 , 0
2014-05-11 10:06:20 , 7 , 0 , 0
2014-05-11 10:06:36 , 6 , 0 , 0
2014-05-11 10:06:51 , 11 , 0 , 0
2014-05-11 10:07:07 , 10 , 0 , 0
2014-05-11 10:07:23 , 4 , 0 , 0
2014-05-11 10:07:39 , 8 , 0 , 0
2014-05-11 10:07:54 , 14 , 0 , 0
2014-05-11 10:08:11 , 12 , 0 , 0
2014-05-11 10:08:26 , 12 , 0 , 0
2014-05-11 10:08:42 , 12 , 0 , 0
2014-05-11 10:08:57 , 9 , 0 , 0
2014-05-11 10:09:13 , 22 , 0 , 0
2014-05-11 10:09:29 , 17 , 0 , 0
2014-05-11 10:09:44 , 16 , 0 , 0
2014-05-11 10:10:00 , 8 , 0 , 0
2014-05-11 10:10:16 , 9 , 0 , 0
2014-05-11 10:10:31 , 12 , 0 , 0
2014-05-11 10:10:47 , 12 , 0 , 0
2014-05-11 10:11:03 , 9 , 0 , 0
2014-05-11 10:11:18 , 28 , 0 , 0
2014-05-11 10:11:34 , 17 , 0 , 0
2014-05-11 10:11:49 , 9 , 0 , 0
2014-05-11 10:12:06 , 13 , 0 , 0
2014-05-11 10:12:22 , 17 , 0 , 0
2014-05-11 10:12:38 , 21 , 0 , 0
2014-05-11 10:12:53 , 12 , 0 , 0
2014-05-11 10:13:09 , 16 , 0 , 0
2014-05-11 10:13:25 , 15 , 0 , 0
2014-05-11 10:13:40 , 16 , 0 , 0
2014-05-11 10:13:56 , 6 , 0 , 0
2014-05-11 10:14:11 , 9 , 0 , 0
2014-05-11 10:14:27 , 17 , 0 , 0
2014-05-11 10:14:42 , 13 , 0 , 0
2014-05-11 10:14:57 , 17 , 0 , 0
2014-05-11 10:15:13 , 19 , 0 , 0
2014-05-11 10:15:29 , 9 , 0 , 0
2014-05-11 10:15:44 , 11 , 0 , 0
2014-05-11 10:16:00 , 15 , 0 , 0
2014-05-11 10:16:16 , 8 , 0 , 0
2014-05-11 10:16:32 , 6 , 0 , 0
2014-05-11 10:16:48 , 13 , 0 , 0
2014-05-11 10:17:03 , 5 , 0 , 0
2014-05-11 10:17:19 , 15 , 0 , 0
2014-05-11 10:17:34 , 6 , 0 , 0
2014-05-11 10:17:50 , 9 , 0 , 0
2014-05-11 10:18:06 , 15 , 0 , 0
2014-05-11 10:18:22 , 21 , 0 , 0
2014-05-11 10:18:37 , 14 , 0 , 0
2014-05-11 10:18:52 , 4 , 0 , 0
2014-05-11 10:19:08 , 11 , 0 , 0
2014-05-11 10:19:23 , 12 , 0 , 0
2014-05-11 10:19:39 , 13 , 0 , 0
2014-05-11 10:19:55 , 17 , 0 , 0
2014-05-11 10:20:10 , 16 , 0 , 0
2014-05-11 10:20:26 , 14 , 0 , 0
2014-05-11 10:20:43 , 12 , 0 , 0
2014-05-11 10:20:58 , 10 , 0 , 0
2014-05-11 10:21:13 , 10 , 0 , 0
2014-05-11 10:21:30 , 10 , 0 , 0
2014-05-11 10:21:46 , 10 , 0 , 0
2014-05-11 10:22:01 , 14 , 0 , 0
2014-05-11 10:22:16 , 19 , 0 , 0
2014-05-11 10:22:32 , 13 , 0 , 0
2014-05-11 10:22:47 , 8 , 0 , 0
2014-05-11 10:23:02 , 16 , 0 , 0
2014-05-11 10:23:19 , 13 , 0 , 0
2014-05-11 10:23:34 , 13 , 0 , 0
2014-05-11 10:23:50 , 8 , 0 , 0
