Time , PM 
18,75
33,74
48,81
64,103
79,77
94,59
110,56
125,63
141,73
157,70
172,61
187,58
202,72
217,73
233,80
249,49
265,59
280,46
295,71
311,73
326,62
341,50
356,53
372,44
387,49
403,47
418,92
433,54
449,69
464,60
479,80
494,80
510,63
525,68
541,55
556,53
572,55
587,73
602,63
618,58
633,79
649,76
664,72
679,70
695,51
710,59
725,51
741,38
757,52
772,48
787,92
803,60
818,73
834,58
849,60
864,83
879,44
895,75
910,79
925,82
941,97
956,67
971,51
987,78
1002,71
1017,52
1033,48
1048,89
1063,49
1079,52
1094,74
1110,68
1125,48
1141,87
1156,42
1171,79
1187,64
1202,41
1217,92
1232,60
1247,51
1263,53
1278,58
1293,57
1309,60
1324,40
1339,68
1355,67
1371,64
1386,41
1401,59
1417,45
1432,52
1447,56
1463,62
1478,76
1494,50
1510,48
1525,38
1540,80
1556,42
1571,79
1586,50
1602,49
1617,55
1633,52
1648,52
1663,55
1679,77
1694,52
1710,39
1725,45
1740,38
1756,60
1771,42
1786,84
1801,64
1817,37
1833,56
1848,60
1864,61
1879,80
1895,47
1910,31
1925,65
1941,52
1957,64
1972,52
1988,72
2003,60
2019,65
2034,35
2049,45
2064,71
2080,43
2095,65
2110,61
2125,66
2141,27
2157,44
2173,51
2188,69
2204,84
2219,54
2235,49
2250,66
2266,63
2281,40
2297,59
2312,62
2327,70
2343,44
2358,56
2373,62
2389,62
2404,33
2420,68
2435,69
2450,57
2466,55
2481,55
2497,51
2512,60
2527,42
2544,54
2559,50
2574,55
2589,54
2605,52
2620,67
2636,56
2652,63
2668,45
2684,41
2700,36
2715,75
2730,32
2746,39
2762,48
2777,44
2793,77
2808,41
2824,67
2839,53
2854,61
2870,47
2886,35
2902,47
2917,48
2932,43
2948,70
2963,41
2979,44
2994,41
3009,42
3025,35
3040,42
3056,48
3071,76
3087,31
3103,46
3119,45
3134,56
3150,38
3165,41
3180,33
3196,47
3211,52
3226,38
3242,38
3257,45
3272,41
3287,75
3303,65
3319,30
3334,32
3350,35
3365,35
3381,25
3396,53
3412,51
3427,45
3443,74
3459,45
3474,27
3489,47
3505,42
3520,37
3535,47
3550,26
3566,30
3582,42
3598,42
3613,45
3628,59
3644,31
3659,35
